Session_ID,Timestamp,Source_Log,Vehicle_Speed_kmh,Speed_mps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Altitude_m,Road_Grade_pct,Heading_deg,Pitch_deg,Roll_deg,Aero_Force_N,Rolling_Resistance_N,Grade_Force_N,Inertial_Force_N,Estimated_Road_Load_N,Estimated_Wheel_Power_kW,Estimated_Wheel_Torque_Nm,Estimated_Motor_Torque_Nm,Battery_Voltage_V,Battery_Current_A,Battery_Power_kW,Available_Charge_Power_kW,Available_Discharge_Power_kW,Battery_SOC_pct,SOC_Display_pct,Battery_SOH_pct,Battery_Max_Temp_C,Battery_Min_Temp_C,Battery_Temp_C,Battery_Temp_Spread_C,Max_Cell_Voltage_V,Min_Cell_Voltage_V,Cell_Voltage_Spread_V,Ambient_Temp_C,Distance_Total_km,Distance_Trip_km,TPMS_FL,TPMS_FR,TPMS_RL,TPMS_RR,TPMS_Avg,Latitude_deg,Longitude_deg,Drive_Context,Estimated_Powertrain_Efficiency_pct,Data_Quality_Flag,Battery_Power_Calculated_kW,TPMS_Avg_Calculated,Cal_cell_voltage_spread,Cell_Spread_Difference,Battery_Temp_Spread_Calculated_C,Battery_Temp_Spread_Difference,Speed_Calculated_mps,Speed_Difference_mps,Driving_Mode,Driving_Behaviour,Road_Load_Calculated_N,Road_Load_Difference_N,Dominant_Road_Load_Component,SOC_State,Battery_Temp_State,Cell_Voltage_Balance_State
EV6_628BDF72,2022-05-23 19:24:00+00:00,00000001-628BDF72,,,,,,,,,,,0.0,229.554,0.0,0.0,229.554,0.0,71.1617,8.6783,781.2,1.1,0.8593,,,93.5,,,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,,,,,,,,,,,,OK,0.86,,0.0,0.0,2.0,0.0,,,Unknown,Unknown,229.554,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BDF72,2022-05-23 19:24:05+00:00,00000001-628BDF72,,,,,,,,,,,0.0,229.554,0.0,0.0,229.554,0.0,71.1617,8.6783,779.6,13.7,10.6805,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.04,0.02,,,,40.2,40.6,40.0,40.2,40.25,,,,0.0,OK,10.68,40.25,0.0199999999999995,4.2674197509029455e-16,2.0,0.0,,,Unknown,Unknown,229.554,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BDF72,2022-05-23 19:24:10+00:00,00000001-628BDF72,,,,,,,,,,,0.0,229.554,0.0,0.0,229.554,0.0,71.1617,8.6783,781.0,1.0,0.781,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,,,40.2,40.6,40.0,40.2,40.25,,,,,OK,0.78,40.25,0.0,0.0,2.0,0.0,,,Unknown,Unknown,229.554,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BDF72,2022-05-23 19:24:15+00:00,00000001-628BDF72,3.7055,1.0293,-1.625,0.875,10.025,96.25,,18.85,-4.95,1.05,0.4079,229.554,0.0,-3168.75,-2938.7881,-3.0249,-911.0243,-111.1005,,,,147.32,277.0,,96.0,100.0,,,,,,,,,287.0,15.0,,,,,,56.0711,10.1606,Stop_or_Crawl,,OK,,,,,,,1.0293055555555557,-5.5555555553699065e-06,Crawl,Braking,-2938.7880999999998,-4.547473508864641e-13,Inertial_Force_N,Unknown,Unknown,Unknown
EV6_628BDF72,2022-05-23 19:24:20+00:00,00000001-628BDF72,1.635,0.4542,-1.225,0.8625,10.075,96.5,,20.5,-2.9,1.2,0.0794,229.554,0.0,-2388.75,-2159.1166,-0.9806,-669.3261,-81.6251,,,,,,,,,,,,,,,,,287.0,20.0,,,,,,56.0712,10.1606,Stop_or_Crawl,,OK,,,,,,,0.4541666666666666,3.333333333332966e-05,Crawl,Braking,-2159.1166,0.0,Inertial_Force_N,Unknown,Unknown,Unknown
EV6_628BDF90,2022-05-23 19:24:25+00:00,00000001-628BDF90,,,,,,,,,,,0.0,229.554,0.0,0.0,229.554,0.0,71.1617,8.6783,781.2,0.7,0.5468,,,93.5,,,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,,,,,,,,,,,,OK,0.55,,0.0,0.0,2.0,0.0,,,Unknown,Unknown,229.554,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BDF90,2022-05-23 19:24:30+00:00,00000001-628BDF90,,,,,,,,,,,0.0,229.554,0.0,0.0,229.554,0.0,71.1617,8.6783,781.2,0.8,0.625,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,,,,40.2,40.6,40.0,40.2,40.25,,,,,OK,0.62,40.25,0.0,0.0,2.0,0.0,,,Unknown,Unknown,229.554,0.0,Rolling_Resistance_N,Very High,Normal,Low
EV6_628BDF90,2022-05-23 19:24:35+00:00,00000001-628BDF90,,,,,,,15.0,,,,0.0,227.0143,2837.6787,0.0,3064.693,0.0,950.0548,115.8603,781.2,1.0,0.7812,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,,,40.2,40.6,40.0,40.2,40.25,,,,,OK,0.78,40.25,0.0,0.0,2.0,0.0,,,Unknown,Unknown,3064.6929999999998,4.547473508864641e-13,Grade_Force_N,Very High,Normal,Low
EV6_628BDF90,2022-05-23 19:24:40+00:00,00000001-628BDF90,0.008,0.0022,0.0,0.875,10.125,97.4,15.0,20.5,-0.2,1.3,0.0,227.0143,2837.6787,0.0,3064.693,0.0068,950.0548,115.8603,781.2,0.8,0.625,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,287.0,0.0,40.2,40.6,40.0,40.2,40.25,56.0712,10.1606,Stop_or_Crawl,,OK,0.62,40.25,0.0,0.0,2.0,0.0,0.0022222222222222,-2.2222222222222088e-05,Crawl,Coasting,3064.6929999999998,4.547473508864641e-13,Grade_Force_N,Very High,Normal,Low
EV6_628BDF90,2022-05-23 19:24:45+00:00,00000001-628BDF90,0.0044,0.0012,-0.0278,0.875,10.0306,97.8,15.0,20.5,-0.12,1.3,0.0,227.0143,2837.6787,-54.1667,3010.5263,0.0037,933.2632,113.8126,781.2,1.4,1.0937,147.32,277.0,93.5,96.0,100.0,20.0,18.0,18.0,2.0,4.06,4.06,0.0,14.0,287.0,0.6,40.2,40.6,40.0,40.2,40.25,56.0712,10.1606,Stop_or_Crawl,0.3364,OK,1.09,40.25,0.0,0.0,2.0,0.0,0.0012222222222222,-2.2222222222222305e-05,Crawl,Coasting,3010.5262999999995,4.547473508864641e-13,Grade_Force_N,Very High,Normal,Low
